"first_name","last_name","rating","string_agg"
"Alec","Wayne","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China54639 A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Fay","Kilmer","R","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India"
"Gary","Phoenix","G","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico"
"Val","Bolger","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Warren","Nolte","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Thora","Temple","G","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico"
"Renee","Ball","PG-13","A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat"
"John","Suvari","NC-17","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
"Albert","Johansson","NC-17","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
"Dustin","Tautou","G","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico"
"Cary","Mcconaughey","PG","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies"
"Gene","Willis","R","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India"
"Rip","Crawford","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Albert","Johansson","R","A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia"
"Michael","Bolger","PG-13","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
"Warren","Nolte","PG","A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies54639 A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Rock","Dukakis","NC-17","A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China54639 A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia"
"Lucille","Dee","R","A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India"
"Humphrey","Willis","NC-17","A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention"
"Albert","Johansson","PG","A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia"
"Jayne","Neeson","PG","A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China"
"Elvis","Marx","PG-13","A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat"
"Oprah","Kilmer","G","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank"
"Julianne","Dench","NC-17","A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory"
"Morgan","Mcdormand","PG","A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies"
"Emily","Dee","NC-17","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria"
"Richard","Penn","PG-13","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
"Matthew","Leigh","G","A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico"
"Mena","Hopper","PG-13","A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat"
"Scarlett","Damon","G","A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank54639 A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention"
"Gregory","Gooding","NC-17","A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans"
